"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW6","MW6","FS26981244-MW6","BKY188","Measurement","Consultant, Professional","09/25/2018",,"09/25/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","9.77","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56822,-120.47261,,985,,"",975.23,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646820
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW11","MW11","FS26981244-MW11","BKY189","Measurement","Consultant, Professional","11/20/2017",,"11/20/2017","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.04","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56793,-120.47344,,986,,"",975.96,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646765
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-13","MW-13","MW-13","","Measurement","Consultant, Professional","03/10/2022",10:12:00,"03/10/2022 10:12:00","","","MP1","Groundwater","Water level in well (depth below top of well casing)","8.4","ft","","","Water level accurate to +/- 0.1ft","GWLMT","Groundwater level by electric tape measurement.","",46.56451699,-120.4897428,1000,,3,"FT",994.6,"+/- 10 ft (3 m)",5.4,"","Not Reviewed","","","",7/14/2022 12:21:26 PM,215397431
"FS11497931","Yakima County Ahtanum Youth Park","FS11497931-3","MW-3","FS11497931_MW-3","","Measurement","Consultant, Professional","06/21/2019",12:09:00,"06/21/2019 12:09:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","4.83","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5556726209418,-120.5153708,,99.34,,"",94.51,"",,"","Not Reviewed","","","",11/7/2019 11:07:06 AM,211011586
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB743","LYV-MW-024","LYV-MW-024","BKB743","MEASUREMENT","WA Dept of Ecology","01/26/2022",08:56:00,"01/26/2022 08:56:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","26.03","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.1926341872975,-119.953787779304,731.38,731.38,,"",705.35,"",,"","Not Reviewed","","","",4/29/2022 1:04:35 PM,215238481
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-12","MW-12","MW-12","","Measurement","Consultant, Professional","09/13/2016",10:14:00,"09/13/2016 10:14:00","","","MP1","Groundwater","Water level in well (depth below top of well casing)","5.37","ft","","","Water level accurate to +/- 0.1ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.56672251,-120.4904509,1003,,3,"FT",1000.63,"+/- 10 ft (3 m)",2.37,"","Not Reviewed","","","",12/5/2016 3:41:14 PM,205220847
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-05","SW-05","VCCE0442 MONITORING WELL SW-05","","Measurement","Consultant, Professional","11/15/2016",,"11/15/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","17.32","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558600009423,-119.90179,,805.86,,"",788.54,"",,"","Reviewed","","","",2/1/2017 10:29:44 AM,205497237
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MWG_2","MWG_2","FS469_MWG_2","","Measurement","Consultant, Professional","05/09/2017",,"05/09/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.46","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5845388888889,-120.5398,,1085.47,,"",1077.01,"",,"","Not Reviewed","","","",7/5/2017 3:57:25 PM,206348915
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-04","RW-04","VCCE0442 MONITORING WELL RW-04","","Measurement","Consultant, Professional","11/15/2016",,"11/15/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","19.62","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558500009423,-119.90147,,812.33,,"",792.71,"",,"","Reviewed","","","",2/1/2017 10:29:44 AM,205497228
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-01","SW-01","VCCE0442 MONITORING WELL SW-01","","Measurement","Consultant, Professional","05/16/2017",11:40:00,"05/16/2017 11:40:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.15","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556600009423,-119.90183,,807.91,,"",794.76,"",,"","Reviewed","","","",7/10/2017 12:12:00 PM,206363766
